nombre_es,nombre_la,nombre_en
Ferropuño doble,Ferropuño doble,Double Iron Bash
Filo del abismo,Filo del abismo,Precipice Blades
Foco resplandor,Cañón destello,Flash Cannon
Fogonazo,fulgor semilla,Seed Fiare
Frustración,Frustración,Frustration
Fuego sagrado,Fuego sagrado,Sacred Fire
Fuego sagrado+,fuego sagrado+,Sacred Fire +
Fuego sagrado++,Fuego sagrado++,Sacred Fire++
Fuerza bruta,Fuerza bruta,Superpower
Fuerza equina,Fuerza equina,High Horsepower
Fuerza lunar,Fuerza lunar,Moonblast 
Furia natural,Ira natural,"Nature's Madness,"
Garra dragón,Garra dragón,Dragon Claw
Gigaimpacto,Gigaimpacto,Giga Impact
Giro bola,Giro bola,Gyro Ball
Giro vil,Giro vil,Brutal Swing
Golpe aéreo,As aéreo,Aerial Ace
Golpe cuerpo,Golpe de cuerpo,Body Slam
Golpe umbrio,Golpe umbrio,Shadow Force
Hidroariete,Hidroariete,Liquidation
Hidrobomba,Hidrobomba,Hydro Pump
Hidrocañón,Hidrocañón,Hydro Cannon
Hidropulso,pulso de agua,Water Pulse
Hierba lazo,Nudo de pasto,Grass Knot
Hipercolmillo,Hipercolmillo,Hyper Fang
Hiperrayo,Hiperrayo,Hyper Beam
Hoja aguda,Hoja aguda,Leaf Blade
Hueso palo,Maza de hueso,Bone Club
Hueso sombrio,Hueso sombrio,Shadow Bone
Joya de luz,Joya de Iuz,Power Gem
Juego sucio,Juego sucio,Foul Play
Lanzallamas,Lanzalamas,Flamethrower
Lanzamugre,Lanzamugre,Gunk Shot
Lariat oscuro,Lariat oscuro,Darkest Lariat
Latigazo,Latigazo,Power Whip
Llama embrujada,Fuego mistico,Mystcal Fire
Llama fusiön,Llama fusión,Fusion Flare
Llamarada,Llamarada,Fire Blast
Lluevehojas,Tormenta de hojas,Leaf Storm
Lluvia ignea,Lluvia ignea,Magma Storm
Manto espejo,Escudo espejo,Mirror Coat
Martillazo,Martillazo,Crabhammer
Megacuerno,Megacuerno,Megahorn
Meteoimpacto,Meteompacto,Sunsteel Strike
Meteorobola,Meteorobola,Weather Ball
Mundo gélido,Mundo gélido,Glaciate
Nitrocarga,Carga de fuego,Flame Charge
Obstrucción,Obstrucción,Obstruct
Onda certera,Ataque centrado,Focus Blast
Onda ígnea,Onda ígnea,Beat Wave
Onda mental,Onda mental,Psystrike
Onda tóxica,Ola de Iodo,Sludge Wave
Pájaro osado,Ave brava,Brave Bird
Patada ígnea,Patada ígnea,Blaze Kick
Patada salto alta,Patada salto alto,High Jump Kick
Pedrada,Pedrada,Rock Blast
Pico taladro,Pico taladro,Drill Peck
Pirotecnia,Golpe de fuego,Flame Burst
Pisotón,Pisotón,Stomp
Placaje eléctrico,Tacleada de voltios,Volt Tackle
Plancha,Plancha,Lunge
Plancha voladora,Plancha voladora,Flying Press
Planta feroz,Planta feroz,Frenzy Plant
Poder pasado,Poder antiguo,Ancient Power
Poltergeist,Poltergeist,Poltergeist
Premonición,Premonición,Future Sight
Psicoataque,Psicoimpulso,Psycho boost
Psicocarga,Choque psíquico,Psyshock
Psicocclmillo,Psicocolmillo,Psychic F angs
Psicorrayo,Psicorrayo,Psybeam
Psíquico,fuerza psíquica,Psychic
Pulpccañán,Octazuca,Octzooka
Pulso dragón,Pulso dragón,Dragon Pulse
Pulso primigenio,Pulso primigenio,Origin Pulse
Pulso umbrío,Pulso oscuro,Dark Pulse
Puntada sombría,Puntada sombría,Spirit Shackle
Puntapié,Barredora,Low Sweep
Puño dinámico,Puño dinámico,Dynamic Punch
Puño drenaje,Puño drenador,Drain Punch
Puño fuego,Puño fuego,Fire Punch
Puño hielo,puño hielo,Ice Punch
Puño incremento,Puño incremento,Power-Up Punch
Puño meteoro,Puño meteoro,Meteor Mash
Puño combra,Puño sombra,Shadow Punch
Puño trueno,Puño trueno,Thunder Punch
Rapidez,Meteoros,swift
Rayo,Atactrueno,Thunderbolt 
Rayo aurora,Rayo aurora,Aurora Beam
Rayo burbuja,Rayo burbuja,Bubble Beam
Rayo fusión,Rayo fusiön,Fusion Bolt
Rayo hielo,Rayo de hielo,Ice Beam
Rayo meteoro,Rayo meteórico,Meteor Beam
Rayo solar,Rayo solar,Solar Beam
Rayo umbrio,Rayo umbrio,Moongeist Beam
Residuos,Residuos,Sludge
Resplandor,Resplandor,Luster Purge
Retribución,Retribución,Retum
Roca afilada,Roca afilada,Stone Edge
Romperrocas,RomperrocaS,Rock Wrecker
Rueda fuego,Rueda ignea,Flame Wheel
Salmuera,Agua salada,Brine
Simún de arena,Tifón de arena,Sandsear Storm
Sincrorruido,Sincrorruido,Synchronoise
Sofoco,Supercalor,Overheat
Sombra vil,Sombra vil,Shadow Sneak
Sumisión,Sumisión,Submission
surf,surf,surf
Tajo cruzado,Golpe cruzado,Cross Chop
Tajo umbrio,Corte umbrio,Night Slash
Taladradora,Taladradora,Drill Run
Tecno shock,Tecno shock,Techno Blast
Terratemblor,Terratemblor,Bulldoze
Terremoto,Terremoto,Earthquake
Tierra viva,Poder terrestre,Earth Power
Tijera X,Tijera X,X-Scissor
Tinieblas,Tinieblas,Night Shade
Tormenta floral,Tormenta de pétalos,Petal Blizzard
Triataque,Triataque,Tri Attack
Triple axel,Triple axel,Triple Axel
Triturar,Triturar,Crunch
Trueno,Trueno,Thunder
Tumba rocas,Tumba de rocas,Rock Tomb
Última baza,Ijltimo recurso,Last Resort
V de fuego,V de fuego,V-create
Vasto impacto,Vasto impacto,Breaking Swipe
Vendaval,Huracán,Hurricane
Vendaval gélido,Vendaval gélido,Bleakwind Storm
Vendetta,Revancha,Payback
Veneno X,Veneno X,Cross Poison
Ventisca,Ventisca,Blizzard
Viento aciago,Viento ominoso,Ominous Wind
Viento hielo,Viento helado,Icy Wind
Viento plata,Viento plateado,Silver Wind
Voltio cruel,Carga salvaje,Wild Charge
Voz cautivadora,Voz encantadora,Disarming Voice
Vuelo,Vuelo,Fly
Zumbido,Zumbido,Bug Buzz
